Status;Carta-Consulta;Modalidade;UF;Município;Agente Financeiro;Proponente;Empreendimento;Valor de Contrapartida (R$);Valor de Empréstimo (R$);Valor de Investimento (R$)
Em análise de enquadramento;1432.24.2712/2017;Qualificação Viária;RO;Ouro Preto do Oeste;Caixa Econômica Federal;Prefeitura Municipal de Ouro Preto do Oeste;Qualificação Viária do Prefeitura Municipal de Ouro Preto do Oeste;R$ 760.980,99;R$ 14.458.638,62;R$ 15.219.619,61
Não enquadrada pelo Agente Financeiro;1047.2.1311/2017;Qualificação Viária;PR;Cruz Machado;Caixa Econômica Federal;Prefeitura Municipal de Cruz Machado;Qualificação Viária do Prefeitura Municipal de Cruz Machado;R$ 139.499,10;R$ 2.650.482,73;R$ 2.789.981,83
Em análise de enquadramento;1130.2.2111/2017;Qualificação Viária;RS;Camargo;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;MUNICIPIO DE CAMARGO;Qualificação Viária do MUNICIPIO DE CAMARGO;R$ 61.859,88;R$ 1.175.337,61;R$ 1.237.197,49
Não enquadrada pelo Agente Financeiro;1605.2.2901/2018;Qualificação Viária;PR;Paranavaí;Caixa Econômica Federal;Prefeitura Municipal de Paranavaí;Qualificação Viária do Prefeitura Municipal de Paranavaí;R$ 96.034,02;R$ 1.824.646,32;R$ 1.920.680,34
Não enquadrada pelo Agente Financeiro;539.3.1609/2017;Transporte Não Motorizado;TO;Santa Terezinha do Tocantins;Caixa Econômica Federal;Prefeitura Municipal de Santa Terezinha do Tocantins;Transporte Não Motorizado do Prefeitura Municipal de Santa Terezinha do Tocantins;R$ 258.505,00;R$ 4.911.595,00;R$ 5.170.100,00
Pré-selecionada pelo Gestor da Aplicação;1631.2.0103/2018;Qualificação Viária;PR;Sarandi;Caixa Econômica Federal;Prefeitura Municipal de Sarandi;Qualificação Viária do Prefeitura Municipal de Sarandi;R$ 192.145,94;R$ 3.650.772,80;R$ 3.842.918,74
Devolvida ao Proponente;1373.25.2112/2017;Qualificação Viária;SE;Nossa Senhora do Socorro;Caixa Econômica Federal;Prefeitura Municipal de Nossa Senhora do Socorro;Qualificação Viária do Prefeitura Municipal de Nossa Senhora do Socorro;R$ 246.410,90;R$ 4.681.807,03;R$ 4.928.217,93
Selecionada pelo gestor da aplicação;1224.2.0512/2017;Qualificação Viária;RS;Sapiranga;Caixa Econômica Federal;Prefeitura Municipal de Sapiranga;Qualificação Viária do Prefeitura Municipal de Sapiranga;R$ 118.173,94;R$ 2.245.304,66;R$ 2.363.478,60
Em análise de enquadramento;1377.34.2112/2017;Transporte Não Motorizado;SP;Hortolândia;Caixa Econômica Federal;MUNICIPIO DE HORTOLANDIA;Transporte Não Motorizado do MUNICIPIO DE HORTOLANDIA;R$ 200.000,00;R$ 3.800.000,00;R$ 4.000.000,00
Em análise de enquadramento;3619.2.1707/2018;Qualificação Viária;PI;São Luis do Piauí;Caixa Econômica Federal;Prefeitura Municipal de São Luis do Piauí;Qualificação Viária do Prefeitura Municipal de São Luis do Piauí;R$ 240.397,50;R$ 4.567.552,50;R$ 4.807.950,00
Pré-selecionada pelo Gestor da Aplicação;1421.2.2712/2017;Qualificação Viária;PR;Formosa do Oeste;Caixa Econômica Federal;Prefeitura Municipal de Formosa do Oeste;Qualificação Viária do Prefeitura Municipal de Formosa do Oeste;R$ 130.000,00;R$ 2.470.000,00;R$ 2.600.000,00
Em análise de enquadramento;632.2.2609/2017;Qualificação Viária;SC;Ascurra;Caixa Econômica Federal;Prefeitura Municipal de Ascurra;Qualificação Viária do Prefeitura Municipal de Ascurra;R$ 125.000,00;R$ 2.375.000,00;R$ 2.500.000,00
Não enquadrada pelo Agente Financeiro;92.2.1108/2017;Qualificação Viária;PR;Campina Grande do Sul;Fomento Paraná;Prefeitura Municipal de Campina Grande do Sul;Qualificação Viária do Prefeitura Municipal de Campina Grande do Sul;R$ 114.450,00;R$ 2.174.550,00;R$ 2.289.000,00
Selecionada pelo gestor da aplicação;1374.3.2112/2017;Transporte Não Motorizado;SC;São José do Cedro;Caixa Econômica Federal;Prefeitura Municipal de São José do Cedro;Transporte Não Motorizado do Prefeitura Municipal de São José do Cedro;R$ 120.000,00;R$ 1.995.000,00;R$ 2.115.000,00
Não enquadrada pelo Agente Financeiro;252.24.2408/2017;Qualificação Viária;BA;Castro Alves;Caixa Econômica Federal;Prefeitura Municipal de Castro Alves;Qualificação Viária do Prefeitura Municipal de Castro Alves;R$ 498.815,12;R$ 9.477.487,11;R$ 9.976.302,23
Pré-selecionada pelo Gestor da Aplicação;3439.24.0606/2018;Qualificação Viária;PI;Alvorada do Gurguéia;Caixa Econômica Federal;Prefeitura Municipal de Alvorada do Gurguéia;Qualificação Viária do Prefeitura Municipal de Alvorada do Gurguéia;R$ 249.274,94;R$ 4.736.223,76;R$ 4.985.498,70
Em análise de enquadramento;1410.34.2612/2017;Transporte Não Motorizado;PB;Umbuzeiro;Caixa Econômica Federal;Prefeitura Municipal de Umbuzeiro;Transporte Não Motorizado do Prefeitura Municipal de Umbuzeiro;R$ 27.500,00;R$ 522.500,00;R$ 550.000,00
Devolvida ao Proponente;3942.2.2002/2019;Qualificação Viária;GO;Rubiataba;Caixa Econômica Federal;Prefeitura Municipal de Rubiataba;Qualificação Viária do Prefeitura Municipal de Rubiataba;R$ 123.205,25;R$ 2.340.899,64;R$ 2.464.104,89
Pré-selecionada pelo Gestor da Aplicação;1539.2.1201/2018;Qualificação Viária;MG;Eugenópolis;Caixa Econômica Federal;Prefeitura Municipal de Eugenópolis;Qualificação Viária do Prefeitura Municipal de Eugenópolis;R$ 242.500,00;R$ 4.607.500,00;R$ 4.850.000,00
Em análise de enquadramento;522.2.1509/2017;Qualificação Viária;PR;Nova Santa Rosa;Caixa Econômica Federal;Prefeitura Municipal de Nova Santa Rosa;Qualificação Viária do Prefeitura Municipal de Nova Santa Rosa;R$ 78.661,40;R$ 1.494.566,47;R$ 1.573.227,87
Em análise de enquadramento;618.3.2209/2017;Transporte Não Motorizado;GO;Mineiros;Caixa Econômica Federal;Prefeitura Municipal de Mineiros;Transporte Não Motorizado do Prefeitura Municipal de Mineiros;R$ 346.857,40;R$ 6.590.290,54;R$ 6.937.147,94
Não enquadrada pelo Agente Financeiro;1100.2.1711/2017;Qualificação Viária;PR;Loanda;Fomento Paraná;Prefeitura Municipal de Loanda;Qualificação Viária do Prefeitura Municipal de Loanda;R$ 126.935,71;R$ 2.411.778,32;R$ 2.538.714,03
Pré-selecionada pelo Gestor da Aplicação;1632.2.0103/2018;Qualificação Viária;PR;Sarandi;Caixa Econômica Federal;Prefeitura Municipal de Sarandi;Qualificação Viária do Prefeitura Municipal de Sarandi;R$ 156.203,16;R$ 2.967.860,01;R$ 3.124.063,17
Em análise de enquadramento;1563.24.1801/2018;Qualificação Viária;RS;Sarandi;Caixa Econômica Federal;Prefeitura Municipal de Sarandi;Qualificação Viária do Prefeitura Municipal de Sarandi;R$ 265.891,61;R$ 5.051.940,49;R$ 5.317.832,10
Pré-selecionada pelo Gestor da Aplicação;1286.2.1212/2017;Qualificação Viária;SC;Içara;Caixa Econômica Federal;Prefeitura Municipal de Içara;Qualificação Viária do Prefeitura Municipal de Içara;R$ 749.634,71;R$ 14.243.059,29;R$ 14.992.694,00
Não enquadrada pelo Agente Financeiro;1476.2.0301/2018;Qualificação Viária;SP;Bastos;Caixa Econômica Federal;Prefeitura Municipal de Bastos;Qualificação Viária do Prefeitura Municipal de Bastos;R$ 573.400,00;R$ 10.894.600,00;R$ 11.468.000,00
Pré-selecionada pelo Gestor da Aplicação;1436.24.2812/2017;Qualificação Viária;PR;Ortigueira;Caixa Econômica Federal;Prefeitura Municipal de Ortigueira;Qualificação Viária do Prefeitura Municipal de Ortigueira;R$ 692.000,00;R$ 13.148.000,00;R$ 13.840.000,00
Selecionada pelo gestor da aplicação;1305.2.1412/2017;Qualificação Viária;CE;Horizonte;Caixa Econômica Federal;Prefeitura Municipal de Horizonte;Qualificação Viária do Prefeitura Municipal de Horizonte;R$ 999.917,00;R$ 18.998.423,00;R$ 19.998.340,00
Pré-selecionada pelo Gestor da Aplicação;1606.3.2901/2018;Transporte Não Motorizado;PR;Paranavaí;Caixa Econômica Federal;Prefeitura Municipal de Paranavaí;Transporte Não Motorizado do Prefeitura Municipal de Paranavaí;R$ 202.341,08;R$ 3.844.480,37;R$ 4.046.821,45
